Koordinatensystem : Lambert konform konisch
Rechtswert        : 3990500 Meter
Hochwert          : 2441500 Meter
Hoehenlage        : 734 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3990500 2441500  1  1  1  -4.4  928 180  4.8 3  2.4  83    0    0 184 -280  2
3990500 2441500  1  1  2  -5.3  928 157  5.6 1  2.4  87    0    0 182 -280  2
3990500 2441500  1  1  3  -5.9  927 135  6.3 0  2.4  91    0    0 187 -281  2
3990500 2441500  1  1  4  -5.9  927 134  6.5 1  2.4  91    0    0 186 -281  2
3990500 2441500  1  1  5  -6.0  926 133  6.5 3  2.4  91    0    0 185 -281  2
3990500 2441500  1  1  6  -6.1  925 130  6.7 5  2.4  90    0    0 211 -281  2
3990500 2441500  1  1  7  -6.5  924 130  6.0 8  2.4  92    0    0 252 -283  2
3990500 2441500  1  1  8  -6.9  924 130  5.4 7  2.4  94    0    0 262 -284  2
3990500 2441500  1  1  9  -6.6  923 150  4.9 7  2.3  90    2   14 255 -285  2
3990500 2441500  1  1 10  -4.7  922 150  4.0 7  2.2  79    1   49 257 -288  2
3990500 2441500  1  1 11  -3.9  923 150  4.7 6  2.2  72    6   99 256 -293  2
3990500 2441500  1  1 12  -2.7  922 160  5.5 7  2.3  70    0   96 260 -297  2
3990500 2441500  1  1 13  -2.5  922 160  4.8 8  2.3  68    0   73 274 -300  2
3990500 2441500  1  1 14  -1.7  922 160  4.7 8  2.4  68    0   55 284 -302  2
3990500 2441500  1  1 15  -0.2  921 180  3.9 7  2.5  65    0   48 284 -306  2
3990500 2441500  1  1 16  -1.1  921 150  3.9 7  2.9  73    0   36 280 -310  2
3990500 2441500  1  1 17  -1.1  921 170  3.8 7  3.3  86    0    2 280 -312  2
3990500 2441500  1  1 18  -1.9  920 140  3.8 8  3.3  88    0    0 287 -312  2
3990500 2441500  1  1 19  -1.3  920 160  5.1 7  3.2  86    0    0 285 -313  2
3990500 2441500  1  1 20  -0.4  920 180  4.5 7  3.1  79    0    0 266 -313  2
3990500 2441500  1  1 21  -0.4  919 160  4.6 7  3.1  76    0    0 266 -314  2
3990500 2441500  1  1 22   0.3  920 170  3.8 7  3.0  73    0    0 277 -314  2
3990500 2441500  1  1 23   3.8  920 180  3.0 7  3.2  66    0    0 290 -316  2
3990500 2441500  1  1 24   2.5  921 180  3.1 7  3.5  67    0    0 297 -320  2
3990500 2441500  1  2  1   4.7  921 210  7.2 6  4.1  75    0    0 293 -322  2
3990500 2441500  1  2  2   4.9  921 200  5.4 7  4.1  70    0    0 294 -324  2
3990500 2441500  1  2  3   4.0  921 200  5.3 8  3.9  68    0    0 308 -326  2
3990500 2441500  1  2  4   3.6  920 200  5.8 8  4.2  76    0    0 315 -329  2
3990500 2441500  1  2  5   2.9  920 200  4.5 8  4.4  83    0    0 315 -332  2
3990500 2441500  1  2  6   3.5  919 180  3.2 8  4.6  88    0    0 315 -331  2
3990500 2441500  1  2  7   4.8  918 190  4.7 8  4.6  83    0    0 318 -329  2
3990500 2441500  1  2  8   4.1  918 200  5.3 8  4.7  82    0    0 319 -328  2
3990500 2441500  1  2  9   3.8  918 220  5.5 8  5.2  94    0    2 318 -327  2
3990500 2441500  1  2 10   4.2  919 200  4.8 8  5.5  98    0   15 318 -327  2
3990500 2441500  1  2 11   4.0  919 200  5.7 8  5.5  97    0   24 318 -329  2
3990500 2441500  1  2 12   4.4  919 210  6.0 8  5.5  97    0   35 318 -332  2
3990500 2441500  1  2 13   3.9  919 210  6.0 7  5.4  96    0   40 309 -335  2
3990500 2441500  1  2 14   3.9  919 210  6.7 6  5.4  97    0   73 289 -337  2
3990500 2441500  1  2 15   3.8  919 210  6.0 7  5.3  96    0   46 289 -337  2
3990500 2441500  1  2 16   4.0  918 200  5.6 8  5.3  95    0   28 308 -336  2
3990500 2441500  1  2 17   3.6  919 210  8.0 7  5.3  96    0    2 308 -334  2
3990500 2441500  1  2 18   3.9  919 210  4.4 6  5.2  95    0    0 292 -331  2
3990500 2441500  1  2 19   3.5  919 210  3.6 6  5.1  94    0    0 284 -329  2
3990500 2441500  1  2 20   3.8  919 210  6.7 6  5.1  94    0    0 283 -329  2
3990500 2441500  1  2 21   4.2  919 220  6.0 7  5.0  90    0    0 291 -328  2
3990500 2441500  1  2 22   5.0  919 230  5.8 6  4.9  84    0    0 295 -328  2
3990500 2441500  1  2 23   5.0  919 200  3.8 6  4.9  81    0    0 291 -327  2
3990500 2441500  1  2 24   5.1  919 200  4.6 6  4.8  80    0    0 290 -326  2
3990500 2441500  1  3  1   4.4  920 190  3.9 6  4.8  81    0    0 288 -325  2
3990500 2441500  1  3  2   4.2  920 210  6.1 7  4.8  84    0    0 293 -324  2
3990500 2441500  1  3  3   4.4  920 240  3.7 7  4.8  84    0    0 300 -323  2
3990500 2441500  1  3  4   3.2  920 210  4.7 8  4.7  86    0    0 304 -323  2
3990500 2441500  1  3  5   2.4  920 210  6.2 7  4.7  91    0    0 300 -324  2
3990500 2441500  1  3  6   1.9  920 210  5.5 6  4.6  94    0    0 286 -324  2
3990500 2441500  1  3  7   2.4  920 210  4.8 4  4.5  92    0    0 268 -323  2
3990500 2441500  1  3  8   1.8  921 210  6.3 6  4.4  90    0    0 267 -322  2
3990500 2441500  1  3  9   2.2  921 210  7.2 6  4.4  91    1   12 278 -320  2
3990500 2441500  1  3 10   1.9  922 220  6.5 7  4.5  92   19   68 282 -319  2
3990500 2441500  1  3 11   4.6  923 260  9.6 5  4.6  86   31  118 278 -322  2
3990500 2441500  1  3 12   4.6  925 260  8.3 6  4.6  80   11  130 278 -326  2
3990500 2441500  1  3 13   4.6  925 260  8.7 5  4.6  80   15  144 279 -329  2
3990500 2441500  1  3 14   4.1  925 260  3.6 6  4.7  83    0   67 278 -331  2
3990500 2441500  1  3 15   2.4  924 260  7.0 6  4.8  91    0   30 279 -331  2
3990500 2441500  1  3 16   2.8  925 260  4.6 7  4.8  96    0   28 281 -330  2
3990500 2441500  1  3 17   1.9  925 260  4.0 7  4.8  98    0    2 286 -324  2
3990500 2441500  1  3 18   2.1  926 260  4.0 6  4.7  97    0    0 279 -318  2
3990500 2441500  1  3 19   1.5  927 230  4.5 5  4.5  94    0    0 267 -314  2
3990500 2441500  1  3 20   1.6  926 210  4.5 2  4.3  92    0    0 245 -313  2
3990500 2441500  1  3 21   0.6  927 220  5.0 1  4.0  90    0    0 222 -312  2
3990500 2441500  1  3 22   1.3  927 210  3.5 2  3.9  87    0    0 221 -312  2
3990500 2441500  1  3 23   0.5  926 170  2.8 2  3.8  85    0    0 227 -312  2
3990500 2441500  1  3 24   0.8  926 190  2.8 5  3.8  87    0    0 242 -312  2
3990500 2441500  1  4  1   0.5  926 170  2.8 3  4.0  91    0    0 248 -312  2
3990500 2441500  1  4  2   1.5  925 180  2.1 5  4.1  92    0    0 248 -312  2
3990500 2441500  1  4  3   1.2  925 160  2.9 5  4.2  91    0    0 258 -313  2
3990500 2441500  1  4  4   0.5  924 160  3.7 4  4.1  94    0    0 252 -315  2
3990500 2441500  1  4  5   0.9  923 160  3.7 4  4.1  94    0    0 244 -316  2
3990500 2441500  1  4  6   0.8  923 150  4.3 5  4.0  90    0    0 249 -317  2
3990500 2441500  1  4  7   1.8  922 160  3.6 6  3.9  85    0    0 261 -319  2
3990500 2441500  1  4  8   1.8  921 130  3.6 6  3.8  80    0    0 268 -320  2
3990500 2441500  1  4  9   0.5  921 160  3.6 7  3.8  83    0   11 273 -321  2
3990500 2441500  1  4 10   0.5  920 150  3.0 7  3.8  87   59   12 281 -321  2
3990500 2441500  1  4 11   1.2  920 170  2.9 7  3.7  84    0   65 282 -321  2
3990500 2441500  1  4 12   0.7  920 140  2.8 8  3.8  84    0   73 293 -322  2
3990500 2441500  1  4 13   4.0  919 200  3.1 7  3.6  74    0   54 297 -323  2
