Koordinatensystem : Lambert konform konisch
Rechtswert        : 3899500 Meter
Hochwert          : 2533500 Meter
Hoehenlage        : 97 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3899500 2533500  1  1  1   6.3  991 171  4.7 7  5.4  90    0    0 287 -327  0
3899500 2533500  1  1  2   5.0  991 165  3.9 7  5.2  93    0    0 303 -327  0
3899500 2533500  1  1  3   3.9  991 164  3.0 7  4.9  95    0    0 315 -326  0
3899500 2533500  1  1  4   3.6  991 166  3.1 8  4.8  95    0    0 315 -326  0
3899500 2533500  1  1  5   3.3  991 170  3.3 8  4.7  95    0    0 323 -325  0
3899500 2533500  1  1  6   2.4  992 175  4.0 7  4.6  95    0    0 311 -324  0
3899500 2533500  1  1  7   2.5  992 173  4.3 7  4.5  98    0    0 300 -324  0
3899500 2533500  1  1  8   2.6  993 172  4.3 7  4.6  98    0    0 299 -324  0
3899500 2533500  1  1  9   2.8  993 161  3.5 7  4.5  96    0    0 301 -325  0
3899500 2533500  1  1 10   3.5  994 168  3.9 6  4.6  95    2   52 294 -326  0
3899500 2533500  1  1 11   4.3  994 145  3.7 6  4.8  93    1   77 287 -328  0
3899500 2533500  1  1 12   4.7  994 158  3.9 7  4.9  92    0   82 297 -331  0
3899500 2533500  1  1 13   5.7  994 175  3.6 6  5.0  89    4  116 302 -334  0
3899500 2533500  1  1 14   6.2  994 162  3.4 6  5.0  85   37  136 299 -336  0
3899500 2533500  1  1 15   6.4  993 148  3.7 3  5.0  82   94   96 277 -336  0
3899500 2533500  1  1 16   5.4  993 129  3.4 4  4.9  83   27   52 261 -333  0
3899500 2533500  1  1 17   5.6  994 133  3.9 6  4.8  83    0    0 281 -329  0
3899500 2533500  1  1 18   4.9  995  93  3.9 6  4.7  84    0    0 295 -327  0
3899500 2533500  1  1 19   4.4  995 139  2.5 7  4.7  88    0    0 300 -326  0
3899500 2533500  1  1 20   4.4  996 124  2.1 7  4.7  88    0    0 308 -325  0
3899500 2533500  1  1 21   2.6  996 193  1.0 7  4.4  89    0    0 304 -323  0
3899500 2533500  1  1 22   3.6  997 170  0.3 6  4.4  90    0    0 296 -322  0
3899500 2533500  1  1 23   3.6  998  96  0.3 7  4.5  90    0    0 298 -322  0
3899500 2533500  1  1 24   3.4  998  19  0.3 4  4.5  92    0    0 282 -321  0
3899500 2533500  1  2  1   2.8  999 341  0.5 7  4.5  94    0    0 279 -321  0
3899500 2533500  1  2  2   3.3  999 330  0.7 6  4.5  95    0    0 293 -321  0
3899500 2533500  1  2  3   2.3 1000   5  0.5 6  4.5  96    0    0 280 -321  0
3899500 2533500  1  2  4   0.6 1001 346  0.3 7  4.1  96    0    0 282 -321  0
