Koordinatensystem : Lambert konform konisch
Rechtswert        : 3796500 Meter
Hochwert          : 2740500 Meter
Hoehenlage        : 147 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3796500 2740500  1  1  1   3.9 1006 203  2.5 6  4.8  91    0    0 347 -351  1
3796500 2740500  1  1  2   5.3 1006 240  2.6 7  5.3  92    0    0 346 -351  1
3796500 2740500  1  1  3   6.2 1006 264  2.6 7  5.6  93    0    0 344 -350  1
3796500 2740500  1  1  4   5.7 1007 256  2.6 7  5.5  94    0    0 342 -348  1
3796500 2740500  1  1  5   5.3 1007 250  2.5 6  5.4  95    0    0 307 -346  1
3796500 2740500  1  1  6   4.9 1007 250  2.7 6  5.3  96    0    0 293 -345  1
3796500 2740500  1  1  7   4.3 1007 220  2.1 8  5.1  97    0    0 320 -344  1
3796500 2740500  1  1  8   4.0 1007 220  2.7 8  5.1  98    0    0 329 -344  1
3796500 2740500  1  1  9   4.0 1007 200  1.8 8  5.0  99    0    0 326 -343  1
3796500 2740500  1  1 10   4.2 1007 190  1.5 6  5.1  99    0   13 312 -341  1
3796500 2740500  1  1 11   5.6 1007 220  3.1 7  5.3  97    0   45 309 -340  1
3796500 2740500  1  1 12   5.9 1007 210  2.8 6  5.4  93    0   59 311 -340  1
3796500 2740500  1  1 13   6.3 1006 210  2.8 7  5.3  89    0   38 311 -341  1
3796500 2740500  1  1 14   6.3 1005 210  3.2 6  5.2  87    1   68 310 -341  1
3796500 2740500  1  1 15   6.9 1004 210  3.2 6  5.3  86   14   73 302 -341  1
3796500 2740500  1  1 16   7.1 1003 220  4.1 7  5.2  83    2   30 307 -339  1
3796500 2740500  1  1 17   7.2 1002 220  4.5 7  5.1  81    0    5 313 -335  1
3796500 2740500  1  1 18   7.3 1002 220  4.8 7  5.1  79    0    0 314 -334  1
3796500 2740500  1  1 19   7.4 1001 200  5.5 8  5.2  80    0    0 323 -335  1
3796500 2740500  1  1 20   7.3  999 200  5.7 7  5.2  81    0    0 324 -338  1
3796500 2740500  1  1 21   7.6  998 200  5.8 7  5.3  81    0    0 319 -340  1
3796500 2740500  1  1 22   7.8  997 210  5.8 8  5.6  84    0    0 331 -343  1
3796500 2740500  1  1 23   7.6  996 210  5.8 8  6.1  92    0    0 342 -345  1
3796500 2740500  1  1 24   9.2  995 220  8.4 8  6.6  94    0    0 346 -349  1
3796500 2740500  1  2  1   8.9  994 250  7.9 8  6.5  89    0    0 348 -354  1
3796500 2740500  1  2  2   8.6  994 260  8.3 8  5.9  82    0    0 346 -355  1
3796500 2740500  1  2  3   6.9  994 260  6.5 2  5.0  75    0    0 300 -353  1
3796500 2740500  1  2  4   7.1  995 250  6.8 3  4.6  73    0    0 260 -350  1
3796500 2740500  1  2  5   5.2  996 270  6.9 6  4.4  73    0    0 285 -344  1
3796500 2740500  1  2  6   5.1  996 260  6.3 7  4.3  78    0    0 309 -337  1
3796500 2740500  1  2  7   4.2  997 270  5.6 7  4.3  80    0    0 310 -332  1
3796500 2740500  1  2  8   3.8  998 270  4.6 7  3.9  75    0    0 303 -327  1
3796500 2740500  1  2  9   4.2  999 260  6.6 6  3.7  71    0    0 292 -324  1
3796500 2740500  1  2 10   4.5 1000 260  6.0 6  3.7  71    0   30 285 -324  1
3796500 2740500  1  2 11   4.6 1001 260  6.5 6  3.7  70   14   71 282 -326  1
3796500 2740500  1  2 12   4.6 1002 250  6.7 6  3.7  70   24   95 280 -328  1
3796500 2740500  1  2 13   4.8 1002 259  6.7 7  3.8  70    1   80 286 -329  1
3796500 2740500  1  2 14   4.8 1002 260  6.5 8  3.8  70    0   30 294 -330  1
3796500 2740500  1  2 15   4.5 1003 250  6.4 8  3.8  72    0   25 297 -330  1
3796500 2740500  1  2 16   2.8 1003 260  3.6 7  4.0  80    0   16 290 -328  1
3796500 2740500  1  2 17   4.0 1004 260  5.2 5  4.0  81    0    6 273 -327  1
3796500 2740500  1  2 18   4.6 1004 260  5.5 4  3.8  73    0    0 259 -326  1
3796500 2740500  1  2 19   4.1 1005 250  5.7 6  3.8  73    0    0 263 -325  1
3796500 2740500  1  2 20   4.5 1006 250  5.8 6  3.9  75    0    0 273 -322  1
3796500 2740500  1  2 21   4.4 1006 250  5.9 7  4.0  76    0    0 279 -319  1
3796500 2740500  1  2 22   4.3 1007 244  5.3 7  4.0  77    0    0 285 -318  1
3796500 2740500  1  2 23   4.1 1007 244  5.4 7  4.0  77    0    0 285 -318  1
3796500 2740500  1  2 24   3.8 1007 250  5.3 5  3.9  78    0    0 276 -318  1
3796500 2740500  1  3  1   4.0 1007 250  5.5 6  4.0  79    0    0 273 -318  1
3796500 2740500  1  3  2   4.0 1008 250  5.8 7  4.1  80    0    0 284 -319  1
3796500 2740500  1  3  3   4.1 1008 250  5.5 8  4.1  81    0    0 295 -320  1
3796500 2740500  1  3  4   3.9 1009 250  6.5 6  4.2  82    0    0 292 -321  1
3796500 2740500  1  3  5   3.9 1009 250  5.9 6  4.2  84    0    0 284 -322  1
3796500 2740500  1  3  6   3.8 1010 250  5.2 6  4.3  85    0    0 284 -323  1
3796500 2740500  1  3  7   3.3 1010 240  4.9 6  4.3  87    0    0 283 -325  1
3796500 2740500  1  3  8   3.4 1010 240  5.3 6  4.3  89    0    0 283 -326  1
3796500 2740500  1  3  9   3.5 1011 250  5.6 6  4.3  89    0    0 285 -327  1
3796500 2740500  1  3 10   3.9 1011 240  5.3 7  4.3  87    0   26 293 -327  1
3796500 2740500  1  3 11   4.0 1012 250  5.4 8  4.4  86    0   34 308 -329  1
3796500 2740500  1  3 12   4.8 1012 250  4.8 8  4.5  86    0   32 316 -331  1
3796500 2740500  1  3 13   5.0 1013 240  4.7 8  4.7  87    0   37 319 -332  1
3796500 2740500  1  3 14   5.4 1012 240  4.2 8  4.7  86    0   38 319 -333  1
3796500 2740500  1  3 15   5.3 1012 240  4.0 8  4.9  88    0   24 319 -335  1
3796500 2740500  1  3 16   5.7 1012 240  4.2 7  5.1  91    0   11 315 -337  1
3796500 2740500  1  3 17   5.8 1012 240  4.6 7  5.2  90    0    1 313 -337  1
3796500 2740500  1  3 18   6.1 1012 240  4.9 7  5.2  90    0    0 315 -338  1
3796500 2740500  1  3 19   6.4 1012 240  5.1 8  5.3  90    0    0 324 -339  1
3796500 2740500  1  3 20   6.6 1012 250  4.9 8  5.4  90    0    0 333 -339  1
3796500 2740500  1  3 21   7.0 1012 250  5.7 8  5.4  88    0    0 336 -340  1
3796500 2740500  1  3 22   7.1 1012 250  6.0 7  5.5  87    0    0 331 -339  1
3796500 2740500  1  3 23   6.9 1011 250  5.7 7  5.4  87    0    0 326 -337  1
3796500 2740500  1  3 24   7.0 1011 240  6.0 7  5.4  86    0    0 325 -335  1
3796500 2740500  1  4  1   6.9 1011 240  5.8 8  5.4  86    0    0 329 -332  1
3796500 2740500  1  4  2   7.2 1011 240  5.9 8  5.4  86    0    0 333 -332  1
3796500 2740500  1  4  3   7.0 1010 240  5.1 7  5.3  85    0    0 326 -332  1
3796500 2740500  1  4  4   7.1 1010 240  6.2 7  5.3  85    0    0 318 -331  1
3796500 2740500  1  4  5   7.1 1010 240  6.3 7  5.4  85    0    0 316 -330  1
3796500 2740500  1  4  6   7.2 1009 240  5.7 8  5.5  87    0    0 321 -328  1
3796500 2740500  1  4  7   7.0 1009 240  5.8 8  5.5  87    0    0 326 -325  1
3796500 2740500  1  4  8   7.0 1009 230  6.6 8  5.2  84    0    0 324 -323  1
3796500 2740500  1  4  9   6.4 1008 240  6.3 7  5.0  81    0    0 317 -321  1
3796500 2740500  1  4 10   5.9 1009 240  6.7 6  4.7  80    0   13 304 -320  1
