,-10 degC,-9 degC,-8 degC,-7 degC,-6 degC,-5 degC,-4 degC,-3 degC,-2 degC,-1 degC,0 degC,1 degC,2 degC,3 degC,4 degC,5 degC,6 degC,7 degC,8 degC,9 degC,10 degC
1,1.6357846353867092,1.572719734724918,1.5093467254543933,1.445768285570846,1.3820870831642948,1.3184059266818964,1.2547247918663267,1.191043593327639,1.1273623908646473,1.0636811696529105,1.0,0.9363188074089506,0.8726376049724001,0.8089564146889245,0.7452752206783273,0.6815939964840583,0.6180154741837189,0.555053244416937,0.4933235987879689,0.4330318383490254,0.37582144714785487
2,1.668249170555907,1.6021365218873644,1.5359050471945705,1.4693174408006182,1.4023738904967895,1.3353115770617856,1.2682492467253605,1.201186982707799,1.1341246374749085,1.0670623267019652,1.0,0.9329376537056316,0.8658753306919661,0.7988130034088697,0.7317506370126813,0.6646882466472839,0.5982194558484923,0.532106651874289,0.4676555376459606,0.4060531737239679,0.3477741702061641
3,1.846058150250876,1.76140428079875,1.6767288797106041,1.5920165040270131,1.5073469385040406,1.4227062835224977,1.3380923704298686,1.2535063539135163,1.1689426890679284,1.0844430754870715,1.0,0.9155972057558679,0.8313111315985615,0.74715873363029,0.6633570058011553,0.5806335156730577,0.500885386485961,0.42721415404229807,0.359368447565001,0.2989931083426828,0.24600103565063372
4,2.374655310754332,2.2364063990728402,2.0981575413488582,1.9599085366323314,1.821659597546617,1.6834107061412458,1.5451616750177968,1.407143135646237,1.2693549981532894,1.1338710329464436,1.0,0.8698155369363361,0.7467739019711154,0.6324880236741738,0.5299533085663636,0.43986100203997236,0.3612893987253189,0.2963122591817002,0.24585125853534384,0.2076022685416893,0.18018278511885047
5,3.4254576130997427,3.1701030699214536,2.9147484505287307,2.65980542201016,2.4060981692247747,2.1540385045131796,1.9048618025208932,1.6610393087457702,1.42463031774443,1.2034601578411794,1.0,0.8228990263441079,0.6705096990061429,0.5444796213624994,0.4452204890269023,0.3731444428561113,0.3191902893749696,0.28294612412375914,0.264824004691604,0.25741037198794353,0.25576289989718115
6,5.361061462972904,4.829333555822748,4.298500198603228,3.771240659818016,3.2600673941562093,2.76587384005722,2.302063978329626,1.8882995625296977,1.5210045912805914,1.2287772287027838,1.0,0.8212673858684632,0.6988356194571517,0.6148310788232016,0.5674667009549467,0.5460186141686405,0.5388692325990203,0.5370819012911983,0.536188222857512,0.536188222857512,0.536188222857512
7,6.537213833485168,5.753634184427789,4.985700120574937,4.246449457240126,3.547616074083451,2.9113643860903484,2.354644046949977,1.887885607421253,1.5071774691694246,1.2112156883548548,1.0,0.8774423250414177,0.8239860891248244,0.8096441014539847,0.80834028100302,0.80834028100302,0.80834028100302,0.80834028100302,0.80834028100302,0.80834028100302,0.80834028100302
8,6.592787436359385,5.828369111832786,5.082747873898443,4.364696394941858,3.6767199825774783,3.0250853359092424,2.4323478844447837,1.9185581301065973,1.500007129761969,1.187972446078776,1.0,0.8796973587298986,0.8145332335576572,0.7869637266905076,0.7781915692109458,0.7769383987365565,0.7769383987365565,0.7769383987365565,0.7769383987365565,0.7769383987365565,0.7769383987365565
9,4.108655023103019,3.7760598589520544,3.4434646061436367,3.1114241861551593,2.780492385932053,2.4506687054888805,2.1280515993220295,1.8165209002351042,1.5227285589782158,1.2494464929126345,1.0,0.7860303020931854,0.6147434203863714,0.49279144073163433,0.4113053821864374,0.35753531174381104,0.3364706319070915,0.33259027570406774,0.33259027570406774,0.33259027570406774,0.33259027570406774
10,2.4567431081616142,2.3108619508474115,2.1650083917476692,2.019081478685796,1.8730817133758542,1.7269931762225295,1.5808279046349176,1.4346096704078952,1.2885371587801215,1.1433351680398973,1.0,0.8592740078491157,0.7239943897933092,0.6010490050038994,0.49437727910933704,0.40330111856422646,0.3261938339080438,0.2644348754275455,0.21988810647983942,0.1899196547752627,0.17080152688162734
11,1.8880995980895459,1.7992897017046938,1.710479761872827,1.6216697775503655,1.5328598208691997,1.4440498840302176,1.3552399371869122,1.2664299545236162,1.1776199233163906,1.0888099989426083,1.0,0.9113379217875824,0.8228240131664488,0.7343100607327528,0.6469802481570508,0.5611306148239481,0.4780932348203576,0.40053251794938893,0.32963245967683225,0.2689455753273477,0.21699168483905013
12,1.6887653448609687,1.6200222437132983,1.551279152613617,1.4825361676422562,1.4136818731754466,1.3448276015283955,1.275862140803094,1.2068966168946198,1.137931085353499,1.068965576707521,1.0,0.9310344525083163,0.862068937327023,0.793103351358364,0.7241378107346925,0.6552835374649844,0.5866516578808175,0.518798445154322,0.45239133796649467,0.38787515826846103,0.3270297546881303
