DT-Index;Datum;Zeit;Quotation [Euro/MWh]
01.10.2021 23:15:00;01.10.2021;23:15:00;52,907
01.10.2021 23:30:00;01.10.2021;23:30:00;44,154
01.10.2021 23:45:00;01.10.2021;23:45:00;33,466
02.10.2021 00:00:00;02.10.2021;00:00:00;23,031
02.10.2021 00:15:00;02.10.2021;00:15:00;49,224
02.10.2021 00:30:00;02.10.2021;00:30:00;40,986
02.10.2021 00:45:00;02.10.2021;00:45:00;31,920
02.10.2021 01:00:00;02.10.2021;01:00:00;25,388
02.10.2021 01:15:00;02.10.2021;01:15:00;43,230
02.10.2021 01:30:00;02.10.2021;01:30:00;35,812
02.10.2021 01:45:00;02.10.2021;01:45:00;30,048
02.10.2021 02:00:00;02.10.2021;02:00:00;26,297
02.10.2021 02:15:00;02.10.2021;02:15:00;36,174
02.10.2021 02:30:00;02.10.2021;02:30:00;31,363
02.10.2021 02:45:00;02.10.2021;02:45:00;30,563
02.10.2021 03:00:00;02.10.2021;03:00:00;29,052
02.10.2021 03:15:00;02.10.2021;03:15:00;33,230
02.10.2021 03:30:00;02.10.2021;03:30:00;30,526
02.10.2021 03:45:00;02.10.2021;03:45:00;29,168
02.10.2021 04:00:00;02.10.2021;04:00:00;29,276
02.10.2021 04:15:00;02.10.2021;04:15:00;29,276
02.10.2021 04:30:00;02.10.2021;04:30:00;29,872
02.10.2021 04:45:00;02.10.2021;04:45:00;31,230
02.10.2021 05:00:00;02.10.2021;05:00:00;32,603
02.10.2021 05:15:00;02.10.2021;05:15:00;29,431
02.10.2021 05:30:00;02.10.2021;05:30:00;28,185
02.10.2021 05:45:00;02.10.2021;05:45:00;31,417
02.10.2021 06:00:00;02.10.2021;06:00:00;36,698
02.10.2021 06:15:00;02.10.2021;06:15:00;25,270
02.10.2021 06:30:00;02.10.2021;06:30:00;30,577
02.10.2021 06:45:00;02.10.2021;06:45:00;37,930
02.10.2021 07:00:00;02.10.2021;07:00:00;43,100
02.10.2021 07:15:00;02.10.2021;07:15:00;26,687
02.10.2021 07:30:00;02.10.2021;07:30:00;33,957
02.10.2021 07:45:00;02.10.2021;07:45:00;44,929
02.10.2021 08:00:00;02.10.2021;08:00:00;50,027
02.10.2021 08:15:00;02.10.2021;08:15:00;38,490
02.10.2021 08:30:00;02.10.2021;08:30:00;42,364
02.10.2021 08:45:00;02.10.2021;08:45:00;45,774
02.10.2021 09:00:00;02.10.2021;09:00:00;45,467
02.10.2021 09:15:00;02.10.2021;09:15:00;48,260
02.10.2021 09:30:00;02.10.2021;09:30:00;46,989
02.10.2021 09:45:00;02.10.2021;09:45:00;45,909
02.10.2021 10:00:00;02.10.2021;10:00:00;41,445
02.10.2021 10:15:00;02.10.2021;10:15:00;50,161
02.10.2021 10:30:00;02.10.2021;10:30:00;45,209
02.10.2021 10:45:00;02.10.2021;10:45:00;41,104
02.10.2021 11:00:00;02.10.2021;11:00:00;36,521
02.10.2021 11:15:00;02.10.2021;11:15:00;44,643
02.10.2021 11:30:00;02.10.2021;11:30:00;43,453
02.10.2021 11:45:00;02.10.2021;11:45:00;41,540
02.10.2021 12:00:00;02.10.2021;12:00:00;35,424
02.10.2021 12:15:00;02.10.2021;12:15:00;45,458
02.10.2021 12:30:00;02.10.2021;12:30:00;41,411
02.10.2021 12:45:00;02.10.2021;12:45:00;35,456
02.10.2021 13:00:00;02.10.2021;13:00:00;30,737
02.10.2021 13:15:00;02.10.2021;13:15:00;41,243
02.10.2021 13:30:00;02.10.2021;13:30:00;36,199
02.10.2021 13:45:00;02.10.2021;13:45:00;34,240
02.10.2021 14:00:00;02.10.2021;14:00:00;31,624
02.10.2021 14:15:00;02.10.2021;14:15:00;30,916
02.10.2021 14:30:00;02.10.2021;14:30:00;33,337
02.10.2021 14:45:00;02.10.2021;14:45:00;37,102
02.10.2021 15:00:00;02.10.2021;15:00:00;42,132
02.10.2021 15:15:00;02.10.2021;15:15:00;27,350
02.10.2021 15:30:00;02.10.2021;15:30:00;35,236
02.10.2021 15:45:00;02.10.2021;15:45:00;41,995
02.10.2021 16:00:00;02.10.2021;16:00:00;49,957
02.10.2021 16:15:00;02.10.2021;16:15:00;27,780
02.10.2021 16:30:00;02.10.2021;16:30:00;37,213
02.10.2021 16:45:00;02.10.2021;16:45:00;47,178
02.10.2021 17:00:00;02.10.2021;17:00:00;55,182
02.10.2021 17:15:00;02.10.2021;17:15:00;36,595
02.10.2021 17:30:00;02.10.2021;17:30:00;46,094
02.10.2021 17:45:00;02.10.2021;17:45:00;54,708
02.10.2021 18:00:00;02.10.2021;18:00:00;57,043
02.10.2021 18:15:00;02.10.2021;18:15:00;50,311
02.10.2021 18:30:00;02.10.2021;18:30:00;51,882
02.10.2021 18:45:00;02.10.2021;18:45:00;51,377
02.10.2021 19:00:00;02.10.2021;19:00:00;50,884
02.10.2021 19:15:00;02.10.2021;19:15:00;59,452
02.10.2021 19:30:00;02.10.2021;19:30:00;53,538
02.10.2021 19:45:00;02.10.2021;19:45:00;48,774
02.10.2021 20:00:00;02.10.2021;20:00:00;39,924
02.10.2021 20:15:00;02.10.2021;20:15:00;61,361
02.10.2021 20:30:00;02.10.2021;20:30:00;47,060
02.10.2021 20:45:00;02.10.2021;20:45:00;35,297
02.10.2021 21:00:00;02.10.2021;21:00:00;26,334
02.10.2021 21:15:00;02.10.2021;21:15:00;47,804
02.10.2021 21:30:00;02.10.2021;21:30:00;41,046
02.10.2021 21:45:00;02.10.2021;21:45:00;33,724
02.10.2021 22:00:00;02.10.2021;22:00:00;28,114
02.10.2021 22:15:00;02.10.2021;22:15:00;48,782
02.10.2021 22:30:00;02.10.2021;22:30:00;40,991
02.10.2021 22:45:00;02.10.2021;22:45:00;34,602
02.10.2021 23:00:00;02.10.2021;23:00:00;26,758
02.10.2021 23:15:00;02.10.2021;23:15:00;44,398
02.10.2021 23:30:00;02.10.2021;23:30:00;36,653
02.10.2021 23:45:00;02.10.2021;23:45:00;27,973
03.10.2021 00:00:00;03.10.2021;00:00:00;16,868
03.10.2021 00:15:00;03.10.2021;00:15:00;24,579
03.10.2021 00:30:00;03.10.2021;00:30:00;20,227
03.10.2021 00:45:00;03.10.2021;00:45:00;12,927
03.10.2021 01:00:00;03.10.2021;01:00:00;8,343
03.10.2021 01:15:00;03.10.2021;01:15:00;26,947
03.10.2021 01:30:00;03.10.2021;01:30:00;17,047
03.10.2021 01:45:00;03.10.2021;01:45:00;9,256
03.10.2021 02:00:00;03.10.2021;02:00:00;6,329
03.10.2021 02:15:00;03.10.2021;02:15:00;13,782
03.10.2021 02:30:00;03.10.2021;02:30:00;9,212
03.10.2021 02:45:00;03.10.2021;02:45:00;9,665
03.10.2021 03:00:00;03.10.2021;03:00:00;9,529
03.10.2021 03:15:00;03.10.2021;03:15:00;9,689
03.10.2021 03:30:00;03.10.2021;03:30:00;10,296
03.10.2021 03:45:00;03.10.2021;03:45:00;7,624
03.10.2021 04:00:00;03.10.2021;04:00:00;9,096
03.10.2021 04:15:00;03.10.2021;04:15:00;8,067
03.10.2021 04:30:00;03.10.2021;04:30:00;9,754
03.10.2021 04:45:00;03.10.2021;04:45:00;12,872
03.10.2021 05:00:00;03.10.2021;05:00:00;16,014
03.10.2021 05:15:00;03.10.2021;05:15:00;10,715
03.10.2021 05:30:00;03.10.2021;05:30:00;10,333
03.10.2021 05:45:00;03.10.2021;05:45:00;13,462
03.10.2021 06:00:00;03.10.2021;06:00:00;15,844
03.10.2021 06:15:00;03.10.2021;06:15:00;14,055
03.10.2021 06:30:00;03.10.2021;06:30:00;11,567
03.10.2021 06:45:00;03.10.2021;06:45:00;19,232
03.10.2021 07:00:00;03.10.2021;07:00:00;24,047
03.10.2021 07:15:00;03.10.2021;07:15:00;13,039
03.10.2021 07:30:00;03.10.2021;07:30:00;14,644
03.10.2021 07:45:00;03.10.2021;07:45:00;26,549
03.10.2021 08:00:00;03.10.2021;08:00:00;33,637
03.10.2021 08:15:00;03.10.2021;08:15:00;15,306
03.10.2021 08:30:00;03.10.2021;08:30:00;19,531
03.10.2021 08:45:00;03.10.2021;08:45:00;27,152
03.10.2021 09:00:00;03.10.2021;09:00:00;30,424
03.10.2021 09:15:00;03.10.2021;09:15:00;24,269
03.10.2021 09:30:00;03.10.2021;09:30:00;25,059
03.10.2021 09:45:00;03.10.2021;09:45:00;25,928
03.10.2021 10:00:00;03.10.2021;10:00:00;24,364
03.10.2021 10:15:00;03.10.2021;10:15:00;27,919
03.10.2021 10:30:00;03.10.2021;10:30:00;22,687
03.10.2021 10:45:00;03.10.2021;10:45:00;21,648
03.10.2021 11:00:00;03.10.2021;11:00:00;21,995
03.10.2021 11:15:00;03.10.2021;11:15:00;23,911
03.10.2021 11:30:00;03.10.2021;11:30:00;25,823
03.10.2021 11:45:00;03.10.2021;11:45:00;24,732
03.10.2021 12:00:00;03.10.2021;12:00:00;23,672
03.10.2021 12:15:00;03.10.2021;12:15:00;33,988
