,-10 degC,-9 degC,-8 degC,-7 degC,-6 degC,-5 degC,-4 degC,-3 degC,-2 degC,-1 degC,0 degC,1 degC,2 degC,3 degC,4 degC,5 degC,6 degC,7 degC,8 degC,9 degC,10 degC
1,1.635578396687022,1.5728534262554221,1.5097172345228336,1.4462725226321516,1.3825192908879467,1.318766117899156,1.2550129519137099,1.191259695644438,1.1275064643952195,1.0637532482303633,1.0,0.9362468017361079,0.8724935825984872,0.8087403177818432,0.7449871205687546,0.6812338604210841,0.6176862546370682,0.5545499943596716,0.49295613026822255,0.43393296907652606,0.37696634661299666
2,1.666824679383006,1.6010196821649028,1.5348589208423113,1.468460951359638,1.4018259455537843,1.3349537832413445,1.2679629939815846,1.2009722634649527,1.1339815343861277,1.066990758358924,1.0,0.9330092465201838,0.8660184448698932,0.7990276900298567,0.7320368885897932,0.6652832117110993,0.598885328400466,0.5331987868222041,0.4692907349042818,0.4077540706394936,0.35001154961724196
3,1.8415687641654443,1.7573632212726156,1.6731377483282737,1.5888837436082635,1.50466037370402,1.4204550144287142,1.3362761823989464,1.252144319569093,1.1680453751575257,1.0839934132437004,1.0,0.9161859726161861,0.8323659911212395,0.7486790072028757,0.665492708641659,0.5834955936805138,0.5038989461436736,0.43036781575044314,0.36275212081156605,0.3016101102616819,0.24985469716329475
4,2.3867079132788427,2.247270242834092,2.107832542277514,1.968394821742317,1.8289571336026924,1.6895195088810722,1.5500817320429066,1.4108763614500113,1.2721358539805712,1.1352545636592297,1.0,0.8684637223308231,0.74459645665324,0.6311870484263362,0.5296298752922913,0.4389953033938653,0.36021286931566904,0.2951417666819294,0.24633844893995271,0.2091549588788622,0.181732131778983
5,3.4889319544116653,3.2248770815155967,2.960821878998791,2.6976185451662973,2.4365448563464684,2.176322725408964,1.920785777455816,1.6712112206699818,1.4297285155630264,1.204855876844285,1.0,0.8228275172326504,0.6682272550967602,0.5442914556703505,0.44889078808984983,0.3743588796976611,0.32325125976800523,0.28960530792276035,0.2717175249742357,0.2649030834809702,0.26405127524905625
6,5.431092255739087,4.88421424586007,4.338255602497011,3.799649605351172,3.2785070675836705,2.777585384434005,2.3115899503623316,1.8878741185356418,1.5266583818060853,1.2307001965757494,1.0,0.8244467681186521,0.709556084458962,0.629591980909925,0.582716304210412,0.561576266650557,0.5533040422379799,0.5514657584628228,0.5514657584628228,0.5514657584628228,0.5514657584628228
7,6.489502660722476,5.70453479818821,4.932759604924325,4.19132793965433,3.497389095078346,2.879968635629035,2.3337887693010404,1.8707231306331957,1.4934104268590007,1.1992113568083653,1.0,0.8799449841648693,0.8284925321261134,0.8179381210699056,0.8179381210699056,0.8179381210699056,0.8179381210699056,0.8179381210699056,0.8179381210699056,0.8179381210699056,0.8179381210699056
8,6.649993807452038,5.8687764367967965,5.108151159159803,4.374553455268427,3.674418102571461,3.014180528910312,2.4144320908805623,1.8919038202241967,1.4813454473632346,1.1840437786696207,1.0,0.8867418909317424,0.831399844804922,0.8056592576525445,0.7979370152490914,0.7979370152490914,0.7979370152490914,0.7979370152490914,0.7979370152490914,0.7979370152490914,0.7979370152490914
9,4.138365789972897,3.800906984345978,3.463448111731654,3.1265521989787266,2.791343479890904,2.4566966933699916,2.130486813103479,1.8160876663971224,1.5213737524046689,1.248594795376655,1.0,0.7879633391827587,0.6158588983989991,0.4954982497974149,0.4128205262964799,0.3610763263170055,0.3413909400068982,0.3374538402243601,0.3374538402243601,0.3374538402243601,0.3374538402243601
10,2.4546045100972287,2.3089740697815526,2.163340295621332,2.017652280034335,1.8718862735670918,1.7260370616579115,1.5801100664263281,1.4341371810487409,1.288066812230133,1.1430961195676812,1.0,0.8599784310146079,0.7256341641485412,0.6021773166856934,0.4963974725922113,0.40592124350028336,0.3275421616048241,0.26589691042550884,0.2197629237114741,0.19054654840043708,0.17122532106372793
11,1.889811832440106,1.8008307382256994,1.7118495406049723,1.6228683366407197,1.533887173101596,1.4449059965521605,1.3559248439932812,1.266943624665706,1.17796239365271,1.0889812701441977,1.0,0.9111669953982523,0.8224824520453285,0.733946160336654,0.6467445780918399,0.5608777135414802,0.4784217687409016,0.40130469969956234,0.3313060828036571,0.2709471168123898,0.2184481323713486
12,1.6898127326186414,1.6212661045099952,1.5523851357443859,1.4835042269144156,1.4145117746166356,1.3455194060681077,1.276415554822004,1.2073116671758004,1.138207774994866,1.0691038836837956,1.0,0.9308960768443011,0.8617921817813622,0.7926882515006836,0.7235843491349785,0.6545919335609751,0.5860452711511881,0.518167419670142,0.45196143956506346,0.38787310254713153,0.32802023867613406
